job_id,career_title,job_title,company,location,salary_min,salary_max,job_type,experience_level,required_skills,description,apply_url
j1,Full-Stack Web Developer,Junior Full-Stack Developer,TechNova Solutions,"San Francisco, CA (Remote)",75000,100000,Full-time,Entry,"HTML, CSS, JavaScript, React, Node.js, Git",Build and maintain web applications using modern JavaScript frameworks. Collaborate with cross-functional teams to deliver high-quality software.,https://www.linkedin.com/jobs/
j2,Full-Stack Web Developer,Full-Stack Engineer,Innovate Labs,"New York, NY",100000,140000,Full-time,Mid,"React, TypeScript, Node.js, PostgreSQL, Docker, REST APIs",Design and implement scalable web applications. Lead feature development and mentor junior developers.,https://www.linkedin.com/jobs/
j3,Full-Stack Web Developer,Senior Full-Stack Developer,CloudFirst Tech,"Austin, TX (Hybrid)",130000,175000,Full-time,Senior,"React, Node.js, MongoDB, AWS, Docker, System Design, TypeScript",Architect and build complex web applications at scale. Drive technical decisions and code reviews.,https://www.linkedin.com/jobs/
j4,Full-Stack Web Developer,Full-Stack Developer Intern,StartUp Hub,Remote,40000,60000,Internship,Entry,"HTML, CSS, JavaScript, React, Git",Assist in developing web features under mentorship. Learn best practices in modern web development.,https://www.linkedin.com/jobs/
j5,Data Scientist,Junior Data Scientist,DataPulse Inc.,"Seattle, WA (Remote)",80000,105000,Full-time,Entry,"Python, SQL, Pandas, Scikit-Learn, Statistics",Analyze datasets to derive actionable insights. Build predictive models and create visualizations.,https://www.linkedin.com/jobs/
j6,Data Scientist,Data Scientist,QuantumAI Labs,"Boston, MA",110000,150000,Full-time,Mid,"Python, Machine Learning, TensorFlow, SQL, Data Visualization, Statistics",Develop and deploy ML models for business intelligence. Collaborate with engineering teams on data pipelines.,https://www.linkedin.com/jobs/
j7,Data Scientist,Senior Data Scientist,MegaCorp Analytics,"San Jose, CA",140000,185000,Full-time,Senior,"Python, Deep Learning, TensorFlow, PyTorch, Feature Engineering, System Design",Lead data science initiatives and mentor team members. Design experiments and drive data strategy.,https://www.linkedin.com/jobs/
j8,Data Scientist,Data Science Intern,Research Labs Co.,Remote,45000,65000,Internship,Entry,"Python, Pandas, NumPy, SQL, Statistics",Support data science team with analysis and model prototyping. Learn industry best practices.,https://www.linkedin.com/jobs/
j9,Backend Engineer,Junior Backend Developer,CodeCraft Studios,"Denver, CO (Remote)",75000,100000,Full-time,Entry,"Python, PostgreSQL, REST APIs, Git, Docker",Build and maintain backend services and APIs. Write clean and testable code.,https://www.linkedin.com/jobs/
j10,Backend Engineer,Backend Engineer,Scalable Systems Inc.,"Chicago, IL",105000,145000,Full-time,Mid,"Python, FastAPI, PostgreSQL, MongoDB, Docker, Redis, Microservices",Design and build scalable backend architectures. Optimize database queries and API performance.,https://www.linkedin.com/jobs/
j11,Backend Engineer,Senior Backend Engineer,DistributedTech,"Portland, OR (Remote)",135000,175000,Full-time,Senior,"Python, Java, System Design, Kubernetes, Kafka, Microservices, AWS",Lead backend architecture decisions. Build distributed systems handling millions of requests.,https://www.linkedin.com/jobs/
j12,Frontend Engineer,Junior Frontend Developer,PixelPerfect Design,"Los Angeles, CA",70000,95000,Full-time,Entry,"HTML, CSS, JavaScript, React, Responsive Design",Build responsive and accessible user interfaces. Work closely with designers on implementation.,https://www.linkedin.com/jobs/
j13,Frontend Engineer,Frontend Engineer,UX Dynamics,"Seattle, WA",95000,130000,Full-time,Mid,"React, TypeScript, Tailwind CSS, Redux, Webpack",Develop complex UI components and state management solutions. Optimize frontend performance.,https://www.linkedin.com/jobs/
j14,Frontend Engineer,Senior Frontend Engineer,DesignFirst Labs,"San Francisco, CA (Remote)",125000,165000,Full-time,Senior,"React, TypeScript, System Design, Figma, Unit Testing, Webpack",Lead frontend architecture and design system development. Mentor junior developers.,https://www.linkedin.com/jobs/
j15,DevOps Engineer,Junior DevOps Engineer,CloudOps Solutions,Remote,80000,105000,Full-time,Entry,"Linux, Docker, Git, CI/CD, Python",Assist in maintaining CI/CD pipelines and cloud infrastructure. Learn infrastructure as code.,https://www.linkedin.com/jobs/
j16,DevOps Engineer,DevOps Engineer,InfraScale Inc.,"Dallas, TX",100000,140000,Full-time,Mid,"Linux, AWS, Docker, Kubernetes, Terraform, CI/CD, Jenkins",Build and maintain automated deployment pipelines. Manage cloud infrastructure at scale.,https://www.linkedin.com/jobs/
j17,DevOps Engineer,Senior DevOps Engineer,Platform Engineering Co.,"San Francisco, CA",135000,175000,Full-time,Senior,"AWS, Kubernetes, Terraform, Ansible, Linux, System Design, GitHub Actions",Lead infrastructure strategy and reliability engineering. Design multi-region architectures.,https://www.linkedin.com/jobs/
j18,Machine Learning Engineer,Junior ML Engineer,AI Ventures,Remote,85000,110000,Full-time,Entry,"Python, Machine Learning, Scikit-Learn, NumPy, Pandas",Build and evaluate ML models. Process and prepare datasets for training.,https://www.linkedin.com/jobs/
j19,Machine Learning Engineer,ML Engineer,DeepTech Labs,"San Jose, CA",120000,160000,Full-time,Mid,"Python, TensorFlow, PyTorch, Docker, AWS, Machine Learning, Deep Learning",Design and deploy production ML models. Build training pipelines and monitoring systems.,https://www.linkedin.com/jobs/
j20,Machine Learning Engineer,Senior ML Engineer,Cortex AI,"New York, NY",150000,200000,Full-time,Senior,"Python, PyTorch, TensorFlow, Kubernetes, System Design, MLOps, Deep Learning",Lead ML platform development. Design scalable model serving infrastructure.,https://www.linkedin.com/jobs/
j21,Cloud Architect,Cloud Engineer,SkyNet Solutions,"Austin, TX",95000,130000,Full-time,Mid,"AWS, Docker, Linux, Cloud Computing, Terraform",Design and implement cloud infrastructure solutions. Optimize costs and performance.,https://www.linkedin.com/jobs/
j22,Cloud Architect,Senior Cloud Architect,Enterprise Cloud Co.,"Washington, DC",140000,195000,Full-time,Senior,"AWS, Azure, GCP, Kubernetes, Serverless, System Design, Microservices",Lead enterprise cloud architecture strategy. Design multi-cloud solutions for complex systems.,https://www.linkedin.com/jobs/
j23,Cybersecurity Analyst,Junior Security Analyst,CyberShield Inc.,Remote,70000,95000,Full-time,Entry,"Cybersecurity, Linux, Network Security, Python",Monitor security systems and respond to incidents. Perform basic vulnerability assessments.,https://www.linkedin.com/jobs/
j24,Cybersecurity Analyst,Cybersecurity Analyst,SecureNet Labs,"Washington, DC",95000,135000,Full-time,Mid,"Cybersecurity, Ethical Hacking, Penetration Testing, OWASP, Python",Conduct security assessments and penetration testing. Develop security policies and procedures.,https://www.linkedin.com/jobs/
j25,Data Engineer,Junior Data Engineer,DataFlow Systems,Remote,80000,105000,Full-time,Entry,"Python, SQL, ETL, Data Engineering, AWS",Build and maintain data pipelines. Process and transform data for analytics.,https://www.linkedin.com/jobs/
j26,Data Engineer,Senior Data Engineer,BigData Corp.,"Seattle, WA",125000,170000,Full-time,Senior,"Python, Spark, Kafka, Airflow, AWS, Big Data, Docker, Data Warehousing",Lead data platform architecture. Design and optimize large-scale data processing systems.,https://www.linkedin.com/jobs/
j27,UI/UX Designer,Junior UI/UX Designer,CreativeStudio,"Los Angeles, CA",65000,90000,Full-time,Entry,"Figma, UI/UX Design, Wireframing, HTML, CSS",Create wireframes and prototypes. Conduct user research and usability testing.,https://www.linkedin.com/jobs/
j28,UI/UX Designer,Senior UX Designer,ProductFirst Inc.,"San Francisco, CA",110000,150000,Full-time,Senior,"Figma, UI/UX Design, Prototyping, Design Systems, User Research",Lead product design strategy. Build and maintain design systems.,https://www.linkedin.com/jobs/
j29,Mobile App Developer,Junior Mobile Developer,AppWorks Studio,Remote,70000,95000,Full-time,Entry,"Dart, Flutter, JavaScript, REST APIs, Git",Build cross-platform mobile applications. Implement UI designs and API integrations.,https://www.linkedin.com/jobs/
j30,Mobile App Developer,Senior Mobile Developer,MobileFirst Labs,"Austin, TX",120000,160000,Full-time,Senior,"Flutter, React Native, Android Development, iOS Development, Firebase",Lead mobile application development. Architect scalable mobile solutions.,https://www.linkedin.com/jobs/
j31,Generative AI Engineer,GenAI Engineer,LLM Dynamics,Remote,120000,170000,Full-time,Mid,"Python, LangChain, Generative AI, Hugging Face, Machine Learning, Deep Learning",Build LLM-powered applications. Design RAG pipelines and prompt engineering solutions.,https://www.linkedin.com/jobs/
j32,Generative AI Engineer,Senior AI Engineer,Frontier AI Labs,"San Francisco, CA",160000,220000,Full-time,Senior,"Python, Generative AI, LangChain, Natural Language Processing, Deep Learning, Docker, FastAPI",Lead generative AI product development. Design and optimize LLM inference systems.,https://www.linkedin.com/jobs/
j33,Full-Stack AI Developer,AI Full-Stack Developer,IntelliApps,"Boston, MA",100000,145000,Full-time,Mid,"Python, React, FastAPI, Machine Learning, MongoDB, Docker",Build end-to-end AI-powered web applications. Integrate ML models with frontend interfaces.,https://www.linkedin.com/jobs/
j34,Full-Stack AI Developer,Senior Full-Stack AI Engineer,NeuralSoft,"New York, NY (Remote)",140000,190000,Full-time,Senior,"Python, JavaScript, React, FastAPI, TensorFlow, AWS, Docker, System Design",Architect intelligent web platforms. Lead AI integration and deployment strategy.,https://www.linkedin.com/jobs/
j35,Data Analyst,Junior Data Analyst,InsightsNow,"Chicago, IL",55000,75000,Full-time,Entry,"SQL, Excel, Data Analysis, Tableau, Communication",Analyze business data and create reports. Build dashboards for stakeholders.,https://www.linkedin.com/jobs/
j36,Data Analyst,Senior Data Analyst,AnalyticsPro,"San Diego, CA",85000,115000,Full-time,Senior,"SQL, Python, Tableau, Power BI, Data Visualization, Statistics, A/B Testing",Lead data analysis projects. Design metrics frameworks and communicate insights.,https://www.linkedin.com/jobs/
j37,Computer Vision Engineer,Computer Vision Engineer,VisionTech AI,"San Jose, CA",110000,155000,Full-time,Mid,"Python, Computer Vision, OpenCV, Deep Learning, TensorFlow, PyTorch",Build image and video analysis systems. Deploy computer vision models to production.,https://www.linkedin.com/jobs/
j38,AI/NLP Engineer,NLP Engineer,LanguageAI Labs,Remote,115000,165000,Full-time,Mid,"Python, Natural Language Processing, Hugging Face, Deep Learning, TensorFlow, PyTorch",Build NLP pipelines and language understanding models. Fine-tune transformers for specific tasks.,https://www.linkedin.com/jobs/
j39,Site Reliability Engineer,SRE Engineer,ReliabilityFirst,"Portland, OR",110000,155000,Full-time,Mid,"Linux, AWS, Docker, Kubernetes, Python, CI/CD, System Design",Ensure system reliability and performance. Build monitoring and alerting systems.,https://www.linkedin.com/jobs/
j40,Platform Engineer,Platform Engineer,DevPlatform Inc.,Remote,115000,160000,Full-time,Mid,"Docker, Kubernetes, Terraform, CI/CD, Linux, Python, AWS, Go",Build internal developer platforms. Design infrastructure abstractions and tooling.,https://www.linkedin.com/jobs/
j41,QA/Test Automation Engineer,QA Automation Engineer,QualitySoft,"Dallas, TX",75000,110000,Full-time,Mid,"Python, Unit Testing, Integration Testing, TDD, CI/CD, Git, Selenium",Design and implement automated test frameworks. Improve software quality processes.,https://www.linkedin.com/jobs/
j42,Technical Writer,Technical Writer,DocuTech,"San Francisco, CA (Remote)",70000,100000,Full-time,Mid,"Technical Writing, Communication, Git, HTML, CSS, REST APIs, Markdown",Create clear technical documentation and API guides. Collaborate with engineering teams.,https://www.linkedin.com/jobs/
j43,IoT Developer,IoT Developer,ConnectedDevices Inc.,"Austin, TX",85000,125000,Full-time,Mid,"Python, IoT, C++, Linux, AWS, MQTT",Build connected device software and IoT platform services. Design embedded systems.,https://www.linkedin.com/jobs/
j44,Blockchain Developer,Blockchain Developer,Web3Labs,Remote,100000,155000,Full-time,Mid,"Solidity, Blockchain, Web3, JavaScript, React, Cryptography",Develop smart contracts and decentralized applications. Build Web3 integration layers.,https://www.linkedin.com/jobs/
j45,Product Manager,Associate Product Manager,ProductVision,"Seattle, WA",90000,120000,Full-time,Mid,"Agile, Scrum, Jira, Communication, Leadership, Data Analysis, SQL",Define product roadmaps and coordinate cross-functional teams. Analyze user data to drive decisions.,https://www.linkedin.com/jobs/
j46,Solutions Architect,Solutions Architect,EnterpriseIT Corp.,"Washington, DC",130000,180000,Full-time,Senior,"AWS, Azure, System Design, Microservices, Cloud Computing, Docker, Communication",Design technical solutions for enterprise clients. Lead architecture reviews and POCs.,https://www.linkedin.com/jobs/
j47,Data Scientist,Lead Data Scientist,FinTech Analytics,"New York, NY",160000,210000,Full-time,Senior,"Python, Machine Learning, Deep Learning, SQL, Statistics, A/B Testing, TensorFlow",Lead data science team in financial modeling. Build fraud detection and risk models.,https://www.linkedin.com/jobs/
j48,Full-Stack Web Developer,React Full-Stack Developer,MediaTech,"Los Angeles, CA",90000,125000,Full-time,Mid,"React, Node.js, MongoDB, Express, TypeScript, Docker, REST APIs",Build media platform features end-to-end. Optimize performance for high-traffic applications.,https://www.linkedin.com/jobs/
j49,Backend Engineer,Go Backend Engineer,FinServe Solutions,"Chicago, IL",115000,155000,Full-time,Mid,"Go, PostgreSQL, Docker, Kubernetes, REST APIs, Redis, System Design",Build high-performance microservices in Go. Design scalable financial transaction systems.,https://www.linkedin.com/jobs/
j50,Machine Learning Engineer,MLOps Engineer,DataPlatform AI,Remote,110000,155000,Full-time,Mid,"Python, Docker, Kubernetes, AWS, Machine Learning, CI/CD, TensorFlow",Build and maintain ML deployment pipelines. Monitor model performance in production.,https://www.linkedin.com/jobs/
