project_id,career_title,project_title,project_description,difficulty,technologies,github_url
prj_0321,Principal QA Engineer,Principal QA Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal QA Engineer.,Beginner,"Gatsby, Eleventy, DigitalOcean Spaces",https://github.com/example/project
prj_0322,Principal QA Engineer,Principal QA Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal QA Engineer.,Advanced,"Deep Learning, Sequelize, Network Security",https://github.com/example/project
prj_0323,Principal Security Analyst,Principal Security Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Security Analyst.,Advanced,"SAS, Vercel, tRPC",https://github.com/example/project
prj_0324,Principal Security Analyst,Principal Security Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Security Analyst.,Intermediate,"React, GCP, REST APIs",https://github.com/example/project
prj_0325,Principal Database Administrator,Principal Database Administrator Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Database Administrator.,Advanced,"Ruby on Rails, Tableau, Azure Blob Storage",https://github.com/example/project
prj_0326,Principal Database Administrator,Principal Database Administrator Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Database Administrator.,Beginner,"Slack, ETL, Vim",https://github.com/example/project
prj_0327,Junior Frontend Developer,Junior Frontend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Frontend Developer.,Intermediate,"Mixpanel, Vercel, Slack",https://github.com/example/project
prj_0328,Junior Frontend Developer,Junior Frontend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Frontend Developer.,Intermediate,"Node.js, Java, ETL",https://github.com/example/project
prj_0329,Junior Backend Developer,Junior Backend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Backend Developer.,Intermediate,"Caching, Parcel, NLTK",https://github.com/example/project
prj_0330,Junior Backend Developer,Junior Backend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Backend Developer.,Intermediate,"REST API, Data Engineering, Google Maps API",https://github.com/example/project
prj_0331,Junior Full Stack Developer,Junior Full Stack Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Full Stack Developer.,Advanced,"Data Modeling, Scala, Miro",https://github.com/example/project
prj_0332,Junior Full Stack Developer,Junior Full Stack Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Full Stack Developer.,Beginner,"AWS EC2, KNIME, Vercel",https://github.com/example/project
prj_0333,Junior Data Scientist,Junior Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Data Scientist.,Advanced,"WebSocket, Cloud Computing, GitLab",https://github.com/example/project
prj_0334,Junior Data Scientist,Junior Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Data Scientist.,Advanced,"Godot, Plotly, Scikit-Learn",https://github.com/example/project
prj_0335,Junior DevOps Engineer,Junior DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior DevOps Engineer.,Beginner,"Miro, Jenkins, Socket.io",https://github.com/example/project
prj_0336,Junior DevOps Engineer,Junior DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior DevOps Engineer.,Beginner,"AWS S3, AWS SNS, Rollup",https://github.com/example/project
prj_0337,Junior Cloud Architect,Junior Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Cloud Architect.,Intermediate,"Django, Jenkins, PyTorch",https://github.com/example/project
prj_0338,Junior Cloud Architect,Junior Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Cloud Architect.,Beginner,"Flutter, Selenium, D3.js",https://github.com/example/project
prj_0339,Junior Product Manager,Junior Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Product Manager.,Intermediate,"SketchUp, Pillow, A/B Testing",https://github.com/example/project
prj_0340,Junior Product Manager,Junior Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Product Manager.,Intermediate,"Godot, WebStorm, Nmap",https://github.com/example/project
prj_0341,Junior UI/UX Designer,Junior UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior UI/UX Designer.,Intermediate,"ZeroMQ, Auth0, Tailwind CSS",https://github.com/example/project
prj_0342,Junior UI/UX Designer,Junior UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior UI/UX Designer.,Intermediate,"Time Management, Stripe API, Jira",https://github.com/example/project
prj_0343,Junior Mobile Developer,Junior Mobile Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Mobile Developer.,Intermediate,"CSS, SOC Analysis, JWT",https://github.com/example/project
prj_0344,Junior Mobile Developer,Junior Mobile Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Mobile Developer.,Beginner,"A/B Testing, IoT, Computer Vision",https://github.com/example/project
prj_0345,Junior QA Engineer,Junior QA Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior QA Engineer.,Intermediate,"Web3, Mailchimp API, Data Modeling",https://github.com/example/project
prj_0346,Junior QA Engineer,Junior QA Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior QA Engineer.,Advanced,"Weka, A/B Testing, AWS",https://github.com/example/project
prj_0347,Junior Security Analyst,Junior Security Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Security Analyst.,Beginner,"Vite, Elasticsearch, PowerShell",https://github.com/example/project
prj_0348,Junior Security Analyst,Junior Security Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Security Analyst.,Intermediate,"GCP Cloud SQL, Dart, Mercurial",https://github.com/example/project
prj_0349,Junior Database Administrator,Junior Database Administrator Portfolio Project 1,A comprehensive project demonstrating skills required for a Junior Database Administrator.,Beginner,"Esbuild, Highcharts, MongoDB",https://github.com/example/project
prj_0350,Junior Database Administrator,Junior Database Administrator Portfolio Project 2,A comprehensive project demonstrating skills required for a Junior Database Administrator.,Beginner,"Bootstrap, CI/CD, PHP",https://github.com/example/project
prj_0351,Senior Frontend Developer,Senior Frontend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Frontend Developer.,Intermediate,"MATLAB, Streamlit, 3ds Max",https://github.com/example/project
prj_0352,Senior Frontend Developer,Senior Frontend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Frontend Developer.,Advanced,"Machine Learning, Design Patterns, Notion",https://github.com/example/project
prj_0353,Senior Backend Developer,Senior Backend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Backend Developer.,Advanced,"Pandas, Spark, SwiftUI",https://github.com/example/project
prj_0354,Senior Backend Developer,Senior Backend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Backend Developer.,Intermediate,"GCP Cloud SQL, Visual Studio, Message Queues",https://github.com/example/project
prj_0355,Senior Full Stack Developer,Senior Full Stack Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Full Stack Developer.,Intermediate,"Plotly, Matplotlib, JavaScript",https://github.com/example/project
prj_0356,Senior Full Stack Developer,Senior Full Stack Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Full Stack Developer.,Intermediate,"Flask, PostgreSQL, macOS",https://github.com/example/project
prj_0357,Senior Data Scientist,Senior Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Data Scientist.,Intermediate,"Puppet, Figma, Kubernetes",https://github.com/example/project
prj_0358,Senior Data Scientist,Senior Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Data Scientist.,Beginner,"Integration Testing, Auth0, LangChain",https://github.com/example/project
prj_0359,Senior DevOps Engineer,Senior DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior DevOps Engineer.,Intermediate,"PowerShell, Design Patterns, Google Analytics",https://github.com/example/project
prj_0360,Senior DevOps Engineer,Senior DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior DevOps Engineer.,Intermediate,"API Design, Stata, AWS IAM",https://github.com/example/project
prj_0361,Senior Cloud Architect,Senior Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Cloud Architect.,Advanced,"ActiveMQ, Remix, Babel",https://github.com/example/project
prj_0362,Senior Cloud Architect,Senior Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Cloud Architect.,Intermediate,"Mongoose, Apollo, OpenAPI",https://github.com/example/project
prj_0363,Senior Product Manager,Senior Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Product Manager.,Beginner,"Technical Writing, AWS, Snowflake",https://github.com/example/project
prj_0364,Senior Product Manager,Senior Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Product Manager.,Advanced,"OpenCV, Laravel, Data Engineering",https://github.com/example/project
prj_0365,Senior UI/UX Designer,Senior UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior UI/UX Designer.,Advanced,"Twilio API, NetBeans, Node.js",https://github.com/example/project
prj_0366,Senior UI/UX Designer,Senior UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior UI/UX Designer.,Intermediate,"Cassandra, MeiliSearch, Twilio API",https://github.com/example/project
prj_0367,Senior Mobile Developer,Senior Mobile Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Mobile Developer.,Beginner,"WebRTC, Stata, PyTorch",https://github.com/example/project
prj_0368,Senior Mobile Developer,Senior Mobile Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Mobile Developer.,Advanced,"Time Management, Unreal Engine, Load Balancing",https://github.com/example/project
prj_0369,Senior QA Engineer,Senior QA Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior QA Engineer.,Beginner,"Data Engineering, C++, Snowflake",https://github.com/example/project
prj_0370,Senior QA Engineer,Senior QA Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior QA Engineer.,Advanced,"Redux Toolkit, Node.js, Plotly",https://github.com/example/project
prj_0371,Senior Security Analyst,Senior Security Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Security Analyst.,Intermediate,"Prototyping, Design Patterns, Leadership",https://github.com/example/project
prj_0372,Senior Security Analyst,Senior Security Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Security Analyst.,Intermediate,"Windows, Amplitude, Natural Language Processing",https://github.com/example/project
prj_0373,Senior Database Administrator,Senior Database Administrator Portfolio Project 1,A comprehensive project demonstrating skills required for a Senior Database Administrator.,Advanced,"Jenkins, Insomnia, Puppeteer",https://github.com/example/project
prj_0374,Senior Database Administrator,Senior Database Administrator Portfolio Project 2,A comprehensive project demonstrating skills required for a Senior Database Administrator.,Beginner,"Go, Spark, Remix",https://github.com/example/project
prj_0375,Lead Frontend Developer,Lead Frontend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Frontend Developer.,Advanced,"Design Patterns, Laravel, Bootstrap",https://github.com/example/project
prj_0376,Lead Frontend Developer,Lead Frontend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Frontend Developer.,Beginner,"AWS Route 53, Unity, Cypress",https://github.com/example/project
prj_0377,Lead Backend Developer,Lead Backend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Backend Developer.,Advanced,"Data Visualization, Mercurial, Azure",https://github.com/example/project
prj_0378,Lead Backend Developer,Lead Backend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Backend Developer.,Intermediate,"Unit Testing, Google Analytics, GCP Kubernetes Engine",https://github.com/example/project
prj_0379,Lead Full Stack Developer,Lead Full Stack Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Full Stack Developer.,Intermediate,"Data Warehousing, Unreal Engine, InVision",https://github.com/example/project
prj_0380,Lead Full Stack Developer,Lead Full Stack Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Full Stack Developer.,Beginner,"Neo4j, Slack, RapidMiner",https://github.com/example/project
prj_0381,Lead Data Scientist,Lead Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Data Scientist.,Intermediate,"Notion, Puppeteer, Vim",https://github.com/example/project
prj_0382,Lead Data Scientist,Lead Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Data Scientist.,Intermediate,"Sequelize, AWS RDS, NextAuth",https://github.com/example/project
prj_0383,Lead DevOps Engineer,Lead DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead DevOps Engineer.,Intermediate,"Integration Testing, Pandas, Nuxt.js",https://github.com/example/project
prj_0384,Lead DevOps Engineer,Lead DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead DevOps Engineer.,Beginner,"NoSQL, Cryptography, RapidMiner",https://github.com/example/project
prj_0385,Lead Cloud Architect,Lead Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Cloud Architect.,Advanced,"IoT, Bash, REST APIs",https://github.com/example/project
prj_0386,Lead Cloud Architect,Lead Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Cloud Architect.,Beginner,"Sketch, Terraform, Web3",https://github.com/example/project
prj_0387,Lead Product Manager,Lead Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Product Manager.,Beginner,"Angular, Reinforcement Learning, Spacy",https://github.com/example/project
prj_0388,Lead Product Manager,Lead Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Product Manager.,Intermediate,"Scala, KNIME, Socket.io",https://github.com/example/project
prj_0389,Lead UI/UX Designer,Lead UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead UI/UX Designer.,Beginner,"Web3, Cybersecurity, Framer",https://github.com/example/project
prj_0390,Lead UI/UX Designer,Lead UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead UI/UX Designer.,Beginner,"gRPC, Spring Boot, SolidWorks",https://github.com/example/project
prj_0391,Lead Mobile Developer,Lead Mobile Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Mobile Developer.,Intermediate,"Swift, Statistics, Supabase",https://github.com/example/project
prj_0392,Lead Mobile Developer,Lead Mobile Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Mobile Developer.,Advanced,"Revit, SVN, Supabase",https://github.com/example/project
prj_0393,Lead QA Engineer,Lead QA Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead QA Engineer.,Advanced,"TypeScript, Apollo, Chart.js",https://github.com/example/project
prj_0394,Lead QA Engineer,Lead QA Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead QA Engineer.,Beginner,"DigitalOcean Spaces, MobX, SASS",https://github.com/example/project
prj_0395,Lead Security Analyst,Lead Security Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Security Analyst.,Advanced,"Next.js, LangChain, Jetpack Compose",https://github.com/example/project
prj_0396,Lead Security Analyst,Lead Security Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Security Analyst.,Advanced,"GraphQL API, Team Collaboration, AWS DynamoDB",https://github.com/example/project
prj_0397,Lead Database Administrator,Lead Database Administrator Portfolio Project 1,A comprehensive project demonstrating skills required for a Lead Database Administrator.,Beginner,"FastAPI, SQLite, LangChain",https://github.com/example/project
prj_0398,Lead Database Administrator,Lead Database Administrator Portfolio Project 2,A comprehensive project demonstrating skills required for a Lead Database Administrator.,Beginner,"Kafka, AutoCAD, Datadog",https://github.com/example/project
prj_0399,Principal Frontend Developer,Principal Frontend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Frontend Developer.,Intermediate,"Astro, WebSocket, Algolia",https://github.com/example/project
prj_0400,Principal Frontend Developer,Principal Frontend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Frontend Developer.,Advanced,"Statsmodels, Message Queues, Spring Boot",https://github.com/example/project
prj_0401,Principal Backend Developer,Principal Backend Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Backend Developer.,Beginner,"DigitalOcean Droplets, Leadership, Azure Blob Storage",https://github.com/example/project
prj_0402,Principal Backend Developer,Principal Backend Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Backend Developer.,Advanced,"Redis, GitHub Actions, Jetpack Compose",https://github.com/example/project
prj_0403,Principal Full Stack Developer,Principal Full Stack Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Full Stack Developer.,Beginner,"API Design, Android Development, SOC Analysis",https://github.com/example/project
prj_0404,Principal Full Stack Developer,Principal Full Stack Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Full Stack Developer.,Beginner,"Data Modeling, Figma, Swagger",https://github.com/example/project
prj_0405,Principal Data Scientist,Principal Data Scientist Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Data Scientist.,Intermediate,"Flutter, MeiliSearch, MobX",https://github.com/example/project
prj_0406,Principal Data Scientist,Principal Data Scientist Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Data Scientist.,Advanced,"PayPal API, Appium, Terraform",https://github.com/example/project
prj_0407,Principal DevOps Engineer,Principal DevOps Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal DevOps Engineer.,Beginner,"Penetration Testing, Supabase Auth, SVN",https://github.com/example/project
prj_0408,Principal DevOps Engineer,Principal DevOps Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal DevOps Engineer.,Advanced,"Twilio API, Azure Functions, Event-Driven Architecture",https://github.com/example/project
prj_0409,Principal Cloud Architect,Principal Cloud Architect Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Cloud Architect.,Beginner,"Cassandra, Supabase, C++",https://github.com/example/project
prj_0410,Principal Cloud Architect,Principal Cloud Architect Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Cloud Architect.,Advanced,"Ruby on Rails, Next.js, Scala",https://github.com/example/project
prj_0411,Principal Product Manager,Principal Product Manager Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Product Manager.,Intermediate,"AWS IAM, Keras, Laravel",https://github.com/example/project
prj_0412,Principal Product Manager,Principal Product Manager Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Product Manager.,Intermediate,"AWS Lambda, Mailchimp API, Chart.js",https://github.com/example/project
prj_0413,Principal UI/UX Designer,Principal UI/UX Designer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal UI/UX Designer.,Beginner,"Microsoft Teams, Sentry, Natural Language Processing",https://github.com/example/project
prj_0414,Principal UI/UX Designer,Principal UI/UX Designer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal UI/UX Designer.,Advanced,"Zeplin, Alteryx, Docker Compose",https://github.com/example/project
prj_0415,Principal Mobile Developer,Principal Mobile Developer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Mobile Developer.,Advanced,"Kubernetes, Reinforcement Learning, Pillow",https://github.com/example/project
prj_0416,Principal Mobile Developer,Principal Mobile Developer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Mobile Developer.,Intermediate,"A/B Testing, Python, Azure",https://github.com/example/project
prj_0417,Principal QA Engineer,Principal QA Engineer Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal QA Engineer.,Beginner,"Microsoft Teams, Figma, AWS Route 53",https://github.com/example/project
prj_0418,Principal QA Engineer,Principal QA Engineer Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal QA Engineer.,Beginner,"OAuth, Data Warehousing, SvelteKit",https://github.com/example/project
prj_0419,Principal Security Analyst,Principal Security Analyst Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Security Analyst.,Advanced,"Agile, Plotly, Solidity",https://github.com/example/project
prj_0420,Principal Security Analyst,Principal Security Analyst Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Security Analyst.,Advanced,"Svelte, LangChain, Windows",https://github.com/example/project
prj_0421,Principal Database Administrator,Principal Database Administrator Portfolio Project 1,A comprehensive project demonstrating skills required for a Principal Database Administrator.,Intermediate,"Linear, QlikView, MeiliSearch",https://github.com/example/project
prj_0422,Principal Database Administrator,Principal Database Administrator Portfolio Project 2,A comprehensive project demonstrating skills required for a Principal Database Administrator.,Beginner,"Emacs, REST API, GraphQL",https://github.com/example/project
